Time (s),Altitude (m),Vertical Speed (m/s),Horizontal Speed (m/s),Angle (°),Fuel (L),Throttle,dhs,dvs
1.0,13722.393932467176,25.60606753282492,930.6788927505494,58.3,119.84405832,0.70244,0.0,0.0
2.0,13695.97265134076,26.421281126415202,929.372594235482,58.3,119.68994901180552,0.6941860729481095,-1.3062985150673967,0.8152135935902827
3.0,13668.716649967426,27.256001373334772,928.0978796837481,58.3,119.53964715314306,0.6770353993804482,-1.2747145517338367,0.83472024691957
4.0,13640.5955683356,28.12108163182556,926.8723221799241,58.3,119.39521770395679,0.650583104442718,-1.2255575038240067,0.8650802584907886
5.0,13611.56756511934,29.02800321626176,925.714511556212,58.3,119.2588413446663,0.614307924731927,-1.1578106237121801,0.9069215844361977
6.0,13581.578544552127,29.98902056721223,924.6442894428014,58.3,119.1328423224886,0.5675631629626048,-1.070222113410523,0.9610173509504705
7.0,13550.561226442947,31.017318109179122,923.6830032421925,58.3,119.01971867057972,0.5095659995895182,-0.9612862006089244,1.028297541966893
8.0,13518.434045838318,32.12718060462985,922.8537819558794,58.3,118.92217519905296,0.43938500687730514,-0.8292212863130999,1.1098624954507272
9.0,13485.099866920644,33.33417891767372,922.181836961375,58.3,118.84315969595185,0.3559256896446398,-0.6719449945044289,1.2069983130438686
10.0,13450.444493715277,34.65537320536685,921.6947910069707,58.3,118.78590282032535,0.25791385417346274,-0.487045954404266,1.3211942876931317
11.0,13414.334958061803,36.10953565347419,921.423038851669,58.3,118.7539622189995,0.14387658254881047,-0.2717521553016695,1.4541624481073399
12.0,13376.61756310271,37.717394959093156,921.4001431162858,58.3,118.75127145378505,0.0121205640290937,-0.022895735383258398,1.607859305618966
13.0,13337.278168143617,39.339394959093156,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
14.0,13296.316773184524,40.961394959093155,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
15.0,13253.733378225432,42.583394959093155,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
16.0,13209.527983266338,44.205394959093155,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
17.0,13163.700588307245,45.827394959093155,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
18.0,13116.251193348153,47.449394959093155,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
19.0,13067.17979838906,49.071394959093155,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
20.0,13016.486403429966,50.693394959093155,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
21.0,12964.171008470874,52.315394959093155,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
22.0,12910.23361351178,53.937394959093155,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
23.0,12854.674218552687,55.559394959093154,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
24.0,12797.492823593595,57.181394959093154,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
25.0,12738.689428634501,58.803394959093154,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
26.0,12678.264033675408,60.425394959093154,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
27.0,12616.216638716316,62.047394959093154,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
28.0,12552.547243757223,63.669394959093154,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
29.0,12487.25584879813,65.29139495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
30.0,12420.342453839037,66.91339495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
31.0,12351.807058879944,68.53539495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
32.0,12281.64966392085,70.15739495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
33.0,12209.870268961758,71.77939495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
34.0,12136.468874002665,73.40139495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
35.0,12061.445479043572,75.02339495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
36.0,11984.80008408448,76.64539495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
37.0,11906.532689125386,78.26739495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
38.0,11826.643294166293,79.88939495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
39.0,11745.131899207201,81.51139495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
40.0,11661.998504248108,83.13339495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
41.0,11577.243109289015,84.75539495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
42.0,11490.865714329922,86.37739495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
43.0,11402.866319370829,87.99939495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
44.0,11313.244924411736,89.62139495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
45.0,11222.001529452644,91.24339495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
46.0,11129.13613449355,92.86539495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
47.0,11034.648739534457,94.48739495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
48.0,10938.539344575365,96.10939495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
49.0,10840.807949616272,97.73139495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
50.0,10741.454554657179,99.35339495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
51.0,10640.479159698085,100.97539495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
52.0,10537.881764738991,102.59739495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
53.0,10433.662369779899,104.21939495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
54.0,10327.820974820805,105.84139495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
55.0,10220.357579861711,107.46339495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
56.0,10111.272184902618,109.08539495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
57.0,10000.564789943524,110.70739495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
58.0,9888.235394984431,112.32939495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
59.0,9774.284000025338,113.95139495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
60.0,9658.710605066244,115.57339495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
61.0,9541.51521010715,117.19539495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
62.0,9422.697815148058,118.81739495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
63.0,9302.258420188964,120.43939495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
64.0,9180.19702522987,122.06139495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
65.0,9056.513630270778,123.68339495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
66.0,8931.208235311684,125.30539495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
67.0,8804.28084035259,126.92739495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
68.0,8675.731445393498,128.54939495909315,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.6219999999999999
69.0,8545.560050434404,130.17139495909316,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
70.0,8413.76665547531,131.79339495909318,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
71.0,8280.351260516218,133.4153949590932,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
72.0,8145.313865557125,135.0373949590932,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
73.0,8008.654470598031,136.65939495909322,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
74.0,7870.373075638938,138.28139495909323,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
75.0,7730.469680679845,139.90339495909325,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
76.0,7588.944285720751,141.52539495909326,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
77.0,7445.796890761658,143.14739495909328,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
78.0,7301.027495802565,144.7693949590933,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
79.0,7154.6361008434715,146.3913949590933,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
80.0,7006.622705884378,148.01339495909332,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
81.0,6856.987310925285,149.63539495909333,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
82.0,6705.729915966192,151.25739495909335,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
83.0,6552.850521007098,152.87939495909336,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
84.0,6398.349126048005,154.50139495909337,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
85.0,6242.225731088912,156.1233949590934,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
86.0,6084.480336129818,157.7453949590934,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
87.0,5925.112941170724,159.36739495909342,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
88.0,5764.123546211631,160.98939495909343,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
89.0,5601.5121512525375,162.61139495909345,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
90.0,5437.278756293444,164.23339495909346,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
91.0,5271.42336133435,165.85539495909347,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
92.0,5103.945966375257,167.4773949590935,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
93.0,4934.846571416163,169.0993949590935,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
94.0,4764.12517645707,170.72139495909352,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
95.0,4591.781781497976,172.34339495909353,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
96.0,4417.816386538882,173.96539495909354,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
97.0,4242.228991579789,175.58739495909356,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
98.0,4065.0195966206957,177.20939495909357,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
99.0,3886.188201661602,178.8313949590936,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
100.0,3705.734806702508,180.4533949590936,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
101.0,3523.6594117434147,182.07539495909361,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
102.0,3339.962016784321,183.69739495909363,921.4001431162858,58.3,118.75127145378505,0.0,0.0,1.622000000000014
